     0.00000000 -0.188861414790E-02 -0.578565197065E-02 -0.337915448472E-02 -0.339993182570E-02 -0.448822556064E-02 -0.790783728007E-03 -0.452652527019E-02 -0.770439743064E-03 -0.313203968108E-02 -0.173419818748E-02 -0.195990968496E-02 -0.112484372221E-02  0.210394282476E-04 -0.285383709706E-02 -0.480140093714E-03 -0.801911170129E-03 -0.122664705850E-02 -0.139934802428E-02 -0.153743906412E-02 -0.411985936807E-03
     0.06835938 -0.256114173681E-02 -0.569941522554E-02 -0.431998493150E-02 -0.324207916856E-02 -0.443847337738E-02 -0.107413379010E-02 -0.442241877317E-02 -0.839720887598E-03 -0.309743452817E-02 -0.157387135550E-02 -0.187308632303E-02 -0.109554862138E-02  0.778778630774E-04 -0.273593747988E-02 -0.443039607489E-03 -0.163450615946E-02 -0.120247388259E-02 -0.113468198106E-02 -0.143434735946E-02 -0.392654590541E-03
     0.13671875 -0.258406903595E-02 -0.602177903056E-02 -0.439161295071E-02 -0.322763947770E-02 -0.478573841974E-02 -0.127030350268E-02 -0.429511629045E-02 -0.943700782955E-03 -0.327242375351E-02 -0.162275810726E-02 -0.205076509155E-02 -0.234527233988E-02 -0.125315622427E-02 -0.238197972067E-02 -0.218673725612E-03 -0.216825841926E-02 -0.106719904579E-02 -0.994560425170E-03 -0.190405885223E-02 -0.504535157233E-03
     0.20507812 -0.245639774948E-02 -0.570432888344E-02 -0.354488147423E-02 -0.313121662475E-02 -0.427068304271E-02 -0.128213712014E-02 -0.430926447734E-02 -0.781859562267E-03 -0.333939306438E-02 -0.157778454013E-02 -0.191308150534E-02 -0.279779965058E-02 -0.169972225558E-02 -0.241334014572E-02 -0.255561870290E-03 -0.244117970578E-02 -0.942111015320E-03 -0.100819545332E-02 -0.323507143185E-02 -0.403154495871E-03
     0.27343750 -0.228681019507E-02 -0.610374426469E-02 -0.316592142917E-02 -0.333685078658E-02 -0.415242603049E-02 -0.113849155605E-02 -0.425976375118E-02 -0.762410170864E-03 -0.349389179610E-02 -0.163368624635E-02 -0.209232885391E-02 -0.312809040770E-02 -0.124651717488E-02 -0.235758698545E-02 -0.334881420713E-03 -0.252726534382E-02 -0.103528448381E-02 -0.815418548882E-03 -0.323355128057E-02 -0.417137664044E-03
     0.34179688 -0.212703016587E-02 -0.538548454642E-02 -0.295168044977E-02 -0.344241014682E-02 -0.422861240804E-02 -0.941782316659E-03 -0.420201476663E-02 -0.722815282643E-03 -0.342206750065E-02 -0.145699153654E-02 -0.190548226237E-02 -0.301595358178E-02 -0.684937462211E-03 -0.250489078462E-02 -0.604807108175E-03 -0.253861211240E-02 -0.106263265479E-02 -0.964755599853E-03 -0.196946552023E-02 -0.320735154673E-03
     0.41015625 -0.184341124259E-02 -0.529630063102E-02 -0.304888514802E-02 -0.356548000127E-02 -0.463337078691E-02 -0.114603224210E-02 -0.451436312869E-02 -0.677058706060E-03 -0.372125231661E-02 -0.136462890077E-02 -0.199680821970E-02 -0.318142049946E-02 -0.565187656321E-03 -0.225839903578E-02 -0.662153121084E-03 -0.260723731481E-02 -0.115036126226E-02 -0.896155019291E-03 -0.154960877262E-02 -0.223526178161E-03
     0.47851562 -0.227686599828E-02 -0.618112692609E-02 -0.301769631915E-02 -0.367377069779E-02 -0.464928057045E-02 -0.112592801452E-02 -0.452882237732E-02 -0.425919744885E-03 -0.360921164975E-02 -0.139798317105E-02 -0.179879250936E-02 -0.304863043129E-02 -0.178431990207E-03 -0.213496084325E-02 -0.496955937706E-03 -0.257529970258E-02 -0.992550631054E-03 -0.109657738358E-02 -0.137947150506E-02 -0.137404145789E-03
     0.54687500 -0.145175610669E-02 -0.704263290390E-02 -0.300810462795E-02 -0.354291195981E-02 -0.471234554425E-02 -0.133591983467E-02 -0.446797534823E-02 -0.716926588211E-03 -0.385059136897E-02 -0.173477653880E-02 -0.194357917644E-02 -0.320417573676E-02 -0.280597130768E-03 -0.316051486880E-02 -0.332946510753E-03 -0.243494729511E-02 -0.111445854418E-02 -0.912757997867E-03 -0.171278591733E-02 -0.278868275927E-03
     0.61523438 -0.122545950580E-02 -0.640549045056E-02 -0.291665783152E-02 -0.350007694215E-02 -0.462382752448E-02 -0.127957982477E-02 -0.431809714064E-02 -0.144502543844E-02 -0.378662184812E-02 -0.183912494686E-02 -0.181176944170E-02 -0.327215204015E-02 -0.337733450579E-03 -0.331424642354E-02 -0.359772733646E-03 -0.233572814614E-02 -0.854615413118E-03 -0.959674245678E-03 -0.152669451199E-02 -0.129110892885E-03
