   T_sec        Uz0001        Uz0002        Uz0003        Uz0004        Uz0005        Uz0006        Uz0007        Uz0008        Uz0009        Uz0010        Uz0011        Uz0012        Uz0013        Uz0014        Uz0015        Uz0016        Uz0017        Uz0018        Uz0019        Uz0020        Uz0021        Uz0022        Uz0023        Uz0024        Uz0025        Uz0026        Uz0027        Uz0028        Uz0029        Uz0030        Uz0031        Uz0032        Uz0033        Uz0034        Uz0035        Uz0036        Uz0037        Uz0038        Uz0039        Uz0040        Uz0041        Uz0042        Uz0043        Uz0044        Uz0045        Uz0046        Uz0047        Uz0048        Uz0049        Uz0050        Uz0051        Uz0052        Uz0053        Uz0054        Uz0055        Uz0056        Uz0057        Uz0058        Uz0059        Uz0060        Uz0061        Uz0062        Uz0063        Uz0064        Uz0065        Uz0066        Uz0067        Uz0068        Uz0069        Uz0070        Uz0071        Uz0072        Uz0073        Uz0074        Uz0075        Uz0076        Uz0077        Uz0078        Uz0079        Uz0080        Uz0081        Uz0082        Uz0083        Uz0084        Uz0085        Uz0086        Uz0087        Uz0088        Uz0089        Uz0090        Uz0091        Uz0092        Uz0093        Uz0094        Uz0095        Uz0096        Uz0097        Uz0098        Uz0099        Uz0100    
    -0.05000 -0.1382E-11  0.1032E-12 -0.6286E-12 -0.1531E-11  0.1868E-11 -0.3028E-12  0.1186E-11 -0.5140E-12 -0.1297E-11  0.3475E-12 -0.5904E-12  0.1253E-11 -0.1545E-12 -0.2618E-12 -0.1623E-12 -0.4167E-12  0.5882E-12 -0.1381E-12 -0.7874E-13 -0.2359E-12 -0.1847E-12  0.3165E-12 -0.7023E-13 -0.7682E-13 -0.1893E-12 -0.5613E-13  0.2167E-12 -0.1510E-13 -0.1289E-12 -0.1635E-12 -0.2606E-13  0.1457E-12  0.6847E-13 -0.6778E-13 -0.6097E-13  0.2428E-13  0.1723E-13 -0.1891E-13 -0.9152E-13 -0.2343E-13  0.1319E-12  0.6706E-13 -0.1997E-13 -0.6589E-13 -0.6655E-13  0.4447E-13  0.3468E-13 -0.2970E-13  0.2048E-13  0.4620E-13  0.2857E-13 -0.7909E-14 -0.7436E-13 -0.3419E-13  0.5887E-13  0.4448E-13  0.7356E-14 -0.4549E-14 -0.8626E-14  0.1118E-13 -0.6087E-14 -0.3403E-13  0.2302E-14  0.4803E-13  0.3613E-13 -0.8015E-14 -0.2762E-13 -0.1607E-13  0.9472E-14  0.1773E-13 -0.4208E-14  0.4620E-14  0.3009E-13  0.7234E-14 -0.1936E-13 -0.2058E-13 -0.6613E-14  0.2544E-13  0.2516E-13 -0.4443E-14 -0.3980E-14  0.5360E-14 -0.2448E-14 -0.1034E-13 -0.6888E-14  0.1081E-13  0.2391E-13  0.1273E-13 -0.1118E-13 -0.1581E-13  0.1938E-14  0.5786E-14 -0.4076E-15  0.5731E-14  0.9949E-14  0.9937E-14  0.1261E-14 -0.1635E-13 -0.1013E-13  0.1010E-13
    -0.04902  0.1457E-11 -0.8874E-13  0.6677E-12  0.1535E-11 -0.1907E-11  0.2766E-12 -0.1235E-11  0.4893E-12  0.1264E-11 -0.4064E-12  0.5312E-12 -0.1337E-11  0.9242E-13  0.1991E-12  0.9824E-13  0.3508E-12 -0.6713E-12  0.5758E-13 -0.1096E-13  0.1417E-12  0.8711E-13 -0.4160E-12 -0.1678E-13 -0.5356E-15  0.1204E-12 -0.7051E-14 -0.2740E-12 -0.3107E-13  0.9259E-13  0.1325E-12 -0.2260E-14 -0.1701E-12 -0.8713E-13  0.5568E-13  0.5169E-13 -0.3239E-13 -0.2167E-13  0.1727E-13  0.9230E-13  0.2452E-13 -0.1316E-12 -0.6391E-13  0.2584E-13  0.7270E-13  0.7344E-13 -0.3837E-13 -0.2789E-13  0.3770E-13 -0.1297E-13 -0.3901E-13 -0.2057E-13  0.1681E-13  0.8365E-13  0.4257E-13 -0.5169E-13 -0.3702E-13  0.8216E-15  0.1271E-13  0.1642E-13 -0.3521E-14  0.1388E-13  0.4172E-13  0.4680E-14 -0.4178E-13 -0.2966E-13  0.1516E-13  0.3463E-13  0.2255E-13 -0.3398E-14 -0.1184E-13  0.1017E-13  0.1060E-14 -0.2480E-13 -0.1669E-14  0.2519E-13  0.2613E-13  0.1163E-13 -0.2083E-13 -0.2050E-13  0.9328E-14  0.8754E-14 -0.8222E-15  0.6969E-14  0.1490E-13  0.1117E-13 -0.6922E-14 -0.2010E-13 -0.8742E-14  0.1535E-13  0.1989E-13  0.1803E-14 -0.2141E-14  0.4091E-14 -0.2206E-14 -0.6551E-14 -0.6502E-14  0.2309E-14  0.1999E-13  0.1354E-13 -0.6967E-14
    -0.04804 -0.1457E-11  0.1208E-12 -0.6887E-12 -0.1545E-11  0.1915E-11 -0.3019E-12  0.1212E-11 -0.5533E-12 -0.1335E-11  0.3501E-12 -0.5969E-12  0.1289E-11 -0.1672E-12 -0.2751E-12 -0.1736E-12 -0.4289E-12  0.5970E-12 -0.1539E-12 -0.9258E-13 -0.2483E-12 -0.1881E-12  0.3268E-12 -0.7050E-13 -0.7948E-13 -0.1912E-12 -0.5193E-13  0.2257E-12 -0.1320E-13 -0.1329E-12 -0.1654E-12 -0.2203E-13  0.1519E-12  0.7203E-13 -0.6962E-13 -0.6162E-13  0.2724E-13  0.1796E-13 -0.1941E-13 -0.9310E-13 -0.2239E-13  0.1372E-12  0.6898E-13 -0.2166E-13 -0.6790E-13 -0.6743E-13  0.4622E-13  0.3586E-13 -0.3033E-13  0.2132E-13  0.4802E-13  0.2897E-13 -0.9199E-14 -0.7641E-13 -0.3443E-13  0.6095E-13  0.4585E-13  0.7074E-14 -0.5028E-14 -0.8634E-14  0.1116E-13 -0.6689E-14 -0.3473E-13  0.2703E-14  0.4958E-13  0.3689E-13 -0.8941E-14 -0.2860E-13 -0.1628E-13  0.9759E-14  0.1809E-13 -0.4295E-14  0.4815E-14  0.3080E-13  0.7106E-14 -0.2029E-13 -0.2119E-13 -0.6415E-14  0.2621E-13  0.2559E-13 -0.4692E-14 -0.4231E-14  0.5367E-14 -0.2616E-14 -0.1079E-13 -0.6972E-14  0.1135E-13  0.2443E-13  0.1274E-13 -0.1169E-13 -0.1628E-13  0.2012E-14  0.5929E-14 -0.4623E-15  0.5878E-14  0.1024E-13  0.1004E-13  0.9794E-15 -0.1686E-13 -0.1028E-13  0.1041E-13
    -0.04706  0.1532E-11 -0.1108E-12  0.7238E-12  0.1541E-11 -0.1963E-11  0.2662E-12 -0.1271E-11  0.5196E-12  0.1293E-11 -0.4190E-12  0.5280E-12 -0.1382E-11  0.9769E-13  0.2056E-12  0.9973E-13  0.3459E-12 -0.7036E-12  0.5071E-13 -0.1435E-13  0.1437E-12  0.8585E-13 -0.4271E-12 -0.1443E-13  0.5756E-14  0.1266E-12 -0.6947E-14 -0.2788E-12 -0.2880E-13  0.1007E-12  0.1381E-12 -0.3052E-14 -0.1733E-12 -0.8800E-13  0.6007E-13  0.5460E-13 -0.3340E-13 -0.2062E-13  0.1941E-13  0.9535E-13  0.2471E-13 -0.1359E-12 -0.6488E-13  0.2846E-13  0.7554E-13  0.7502E-13 -0.3956E-13 -0.2856E-13  0.3880E-13 -0.1342E-13 -0.4051E-13 -0.2066E-13  0.1841E-13  0.8598E-13  0.4302E-13 -0.5364E-13 -0.3828E-13  0.1244E-14  0.1331E-13  0.1653E-13 -0.3423E-14  0.1457E-13  0.4248E-13  0.4312E-14 -0.4333E-13 -0.3040E-13  0.1613E-13  0.3565E-13  0.2277E-13 -0.3687E-14 -0.1221E-13  0.1025E-13  0.8526E-15 -0.2553E-13 -0.1548E-14  0.2613E-13  0.2673E-13  0.1141E-13 -0.2163E-13 -0.2095E-13  0.9557E-14  0.8984E-14 -0.8551E-15  0.7113E-14  0.1533E-13  0.1123E-13 -0.7504E-14 -0.2066E-13 -0.8785E-14  0.1584E-13  0.2033E-13  0.1689E-14 -0.2327E-14  0.4108E-14 -0.2390E-14 -0.6874E-14 -0.6629E-14  0.2570E-14  0.2047E-13  0.1366E-13 -0.7317E-14
    -0.04609 -0.1537E-11  0.1380E-12 -0.7531E-12 -0.1559E-11  0.1964E-11 -0.3009E-12  0.1239E-11 -0.5953E-12 -0.1376E-11  0.3526E-12 -0.6030E-12  0.1326E-11 -0.1803E-12 -0.2914E-12 -0.1911E-12 -0.4470E-12  0.6051E-12 -0.1674E-12 -0.1027E-12 -0.2573E-12 -0.1887E-12  0.3395E-12 -0.6976E-13 -0.8189E-13 -0.1931E-12 -0.4750E-13  0.2349E-12 -0.1140E-13 -0.1374E-12 -0.1677E-12 -0.1795E-13  0.1581E-12  0.7558E-13 -0.7171E-13 -0.6244E-13  0.3022E-13  0.1861E-13 -0.2008E-13 -0.9484E-13 -0.2135E-13  0.1427E-12  0.7092E-13 -0.2351E-13 -0.7007E-13 -0.6838E-13  0.4801E-13  0.3705E-13 -0.3100E-13  0.2217E-13  0.4989E-13  0.2936E-13 -0.1059E-13 -0.7857E-13 -0.3468E-13  0.6313E-13  0.4729E-13  0.6769E-14 -0.5542E-14 -0.8648E-14  0.1114E-13 -0.7329E-14 -0.3545E-13  0.3130E-14  0.5120E-13  0.3767E-13 -0.9915E-14 -0.2963E-13 -0.1649E-13  0.1006E-13  0.1847E-13 -0.4382E-14  0.5024E-14  0.3152E-13  0.6969E-14 -0.2126E-13 -0.2182E-13 -0.6201E-14  0.2701E-13  0.2603E-13 -0.4950E-14 -0.4491E-14  0.5373E-14 -0.2792E-14 -0.1125E-13 -0.7055E-14  0.1191E-13  0.2498E-13  0.1274E-13 -0.1223E-13 -0.1677E-13  0.2092E-14  0.6080E-14 -0.5177E-15  0.6028E-14  0.1053E-13  0.1013E-13  0.6830E-15 -0.1738E-13 -0.1044E-13  0.1074E-13
    -0.04511  0.1609E-11 -0.1341E-12  0.7825E-12  0.1547E-11 -0.2022E-11  0.2541E-12 -0.1310E-11  0.5516E-12  0.1324E-11 -0.4319E-12  0.5244E-12 -0.1429E-11  0.1020E-12  0.2078E-12  0.9517E-13  0.3378E-12 -0.7353E-12  0.4791E-13 -0.1329E-13  0.1493E-12  0.8664E-13 -0.4375E-12 -0.1137E-13  0.1266E-13  0.1332E-12 -0.7020E-14 -0.2840E-12 -0.2661E-13  0.1091E-12  0.1439E-12 -0.4115E-14 -0.1769E-12 -0.8905E-13  0.6454E-13  0.5752E-13 -0.3459E-13 -0.1963E-13  0.2158E-13  0.9844E-13  0.2479E-13 -0.1404E-12 -0.6596E-13  0.3117E-13  0.7848E-13  0.7660E-13 -0.4084E-13 -0.2929E-13  0.3991E-13 -0.1392E-13 -0.4210E-13 -0.2077E-13  0.2009E-13  0.8841E-13  0.4346E-13 -0.5571E-13 -0.3960E-13  0.1678E-14  0.1395E-13  0.1663E-13 -0.3322E-14  0.1529E-13  0.4327E-13  0.3914E-14 -0.4494E-13 -0.3117E-13  0.1715E-13  0.3673E-13  0.2299E-13 -0.3993E-14 -0.1260E-13  0.1034E-13  0.6306E-15 -0.2628E-13 -0.1418E-14  0.2711E-13  0.2735E-13  0.1117E-13 -0.2247E-13 -0.2142E-13  0.9797E-14  0.9225E-14 -0.8850E-15  0.7266E-14  0.1578E-13  0.1128E-13 -0.8113E-14 -0.2125E-13 -0.8824E-14  0.1635E-13  0.2079E-13  0.1572E-14 -0.2517E-14  0.4124E-14 -0.2583E-14 -0.7214E-14 -0.6764E-14  0.2842E-14  0.2097E-13  0.1379E-13 -0.7678E-14
    -0.04413 -0.1621E-11  0.1546E-12 -0.8221E-12 -0.1575E-11  0.2014E-11 -0.2995E-12  0.1267E-11 -0.6399E-12 -0.1419E-11  0.3552E-12 -0.6083E-12  0.1365E-11 -0.1978E-12 -0.3153E-12 -0.2139E-12 -0.4649E-12  0.6178E-12 -0.1766E-12 -0.1095E-12 -0.2641E-12 -0.1876E-12  0.3536E-12 -0.6860E-13 -0.8442E-13 -0.1952E-12 -0.4294E-13  0.2444E-12 -0.9719E-14 -0.1423E-12 -0.1702E-12 -0.1381E-13  0.1645E-12  0.7913E-13 -0.7406E-13 -0.6343E-13  0.3322E-13  0.1919E-13 -0.2090E-13 -0.9675E-13 -0.2030E-13  0.1483E-12  0.7289E-13 -0.2553E-13 -0.7241E-13 -0.6940E-13  0.4985E-13  0.3826E-13 -0.3172E-13  0.2303E-13  0.5184E-13  0.2975E-13 -0.1208E-13 -0.8085E-13 -0.3494E-13  0.6540E-13  0.4878E-13  0.6440E-14 -0.6091E-14 -0.8668E-14  0.1111E-13 -0.8009E-14 -0.3620E-13  0.3585E-14  0.5289E-13  0.3848E-13 -0.1094E-13 -0.3071E-13 -0.1671E-13  0.1038E-13  0.1886E-13 -0.4468E-14  0.5248E-14  0.3228E-13  0.6822E-14 -0.2228E-13 -0.2248E-13 -0.5969E-14  0.2785E-13  0.2648E-13 -0.5217E-14 -0.4762E-14  0.5376E-14 -0.2976E-14 -0.1174E-13 -0.7137E-14  0.1251E-13  0.2555E-13  0.1275E-13 -0.1278E-13 -0.1727E-13  0.2176E-14  0.6239E-14 -0.5697E-15  0.6187E-14  0.1084E-13  0.1023E-13  0.3658E-15 -0.1792E-13 -0.1060E-13  0.1108E-13
    -0.04315  0.1689E-11 -0.1587E-12  0.8441E-12  0.1552E-11 -0.2085E-11  0.2401E-12 -0.1350E-11  0.5854E-12  0.1357E-11 -0.4448E-12  0.5201E-12 -0.1481E-11  0.9977E-13  0.2047E-12  0.8994E-13  0.3328E-12 -0.7636E-12  0.4931E-13 -0.8899E-14  0.1572E-12  0.8843E-13 -0.4479E-12 -0.8024E-14  0.1997E-13  0.1399E-12 -0.7352E-14 -0.2896E-12 -0.2451E-13  0.1177E-12  0.1497E-12 -0.5459E-14 -0.1808E-12 -0.9030E-13  0.6909E-13  0.6045E-13 -0.3595E-13 -0.1870E-13  0.2379E-13  0.1016E-12  0.2476E-13 -0.1453E-12 -0.6715E-13  0.3398E-13  0.8154E-13  0.7821E-13 -0.4222E-13 -0.3009E-13  0.4103E-13 -0.1447E-13 -0.4379E-13 -0.2091E-13  0.2185E-13  0.9094E-13  0.4389E-13 -0.5788E-13 -0.4100E-13  0.2126E-14  0.1461E-13  0.1673E-13 -0.3215E-14  0.1605E-13  0.4409E-13  0.3483E-14 -0.4664E-13 -0.3197E-13  0.1822E-13  0.3785E-13  0.2323E-13 -0.4317E-14 -0.1300E-13  0.1042E-13  0.3932E-15 -0.2705E-13 -0.1276E-14  0.2813E-13  0.2801E-13  0.1091E-13 -0.2334E-13 -0.2190E-13  0.1005E-13  0.9478E-14 -0.9117E-15  0.7430E-14  0.1624E-13  0.1133E-13 -0.8749E-14 -0.2186E-13 -0.8858E-14  0.1688E-13  0.2127E-13  0.1454E-14 -0.2714E-14  0.4141E-14 -0.2783E-14 -0.7566E-14 -0.6902E-14  0.3128E-14  0.2149E-13  0.1392E-13 -0.8057E-14
    -0.04217 -0.1710E-11  0.1706E-12 -0.8960E-12 -0.1591E-11  0.2066E-11 -0.2976E-12  0.1295E-11 -0.6871E-12 -0.1463E-11  0.3581E-12 -0.6151E-12  0.1400E-11 -0.2230E-12 -0.3429E-12 -0.2353E-12 -0.4784E-12  0.6360E-12 -0.1826E-12 -0.1143E-12 -0.2699E-12 -0.1857E-12  0.3687E-12 -0.6732E-13 -0.8727E-13 -0.1976E-12 -0.3827E-13  0.2543E-12 -0.8173E-14 -0.1478E-12 -0.1731E-12 -0.9598E-14  0.1711E-12  0.8269E-13 -0.7667E-13 -0.6460E-13  0.3625E-13  0.1970E-13 -0.2188E-13 -0.9883E-13 -0.1923E-13  0.1542E-12  0.7490E-13 -0.2771E-13 -0.7494E-13 -0.7049E-13  0.5174E-13  0.3949E-13 -0.3249E-13  0.2392E-13  0.5386E-13  0.3013E-13 -0.1368E-13 -0.8324E-13 -0.3521E-13  0.6777E-13  0.5033E-13  0.6089E-14 -0.6678E-14 -0.8693E-14  0.1106E-13 -0.8732E-14 -0.3699E-13  0.4070E-14  0.5465E-13  0.3933E-13 -0.1201E-13 -0.3185E-13 -0.1694E-13  0.1072E-13  0.1927E-13 -0.4553E-14  0.5488E-14  0.3306E-13  0.6663E-14 -0.2334E-13 -0.2316E-13 -0.5720E-14  0.2872E-13  0.2696E-13 -0.5495E-14 -0.5043E-14  0.5378E-14 -0.3170E-14 -0.1224E-13 -0.7217E-14  0.1313E-13  0.2614E-13  0.1275E-13 -0.1336E-13 -0.1780E-13  0.2265E-14  0.6407E-14 -0.6188E-15  0.6357E-14  0.1116E-13  0.1033E-13  0.3305E-16 -0.1849E-13 -0.1076E-13  0.1143E-13
    -0.04119  0.1772E-11 -0.1847E-12  0.9088E-12  0.1556E-11 -0.2152E-11  0.2243E-12 -0.1392E-11  0.6217E-12  0.1392E-11 -0.4590E-12  0.5097E-12 -0.1544E-11  0.9329E-13  0.2031E-12  0.8946E-13  0.3326E-12 -0.7890E-12  0.5354E-13 -0.2423E-14  0.1665E-12  0.9060E-13 -0.4587E-12 -0.4602E-14  0.2761E-13  0.1468E-12 -0.7986E-14 -0.2958E-12 -0.2249E-13  0.1266E-12  0.1557E-12 -0.7092E-14 -0.1851E-12 -0.9173E-13  0.7374E-13  0.6342E-13 -0.3749E-13 -0.1784E-13  0.2606E-13  0.1048E-12  0.2462E-13 -0.1504E-12 -0.6845E-13  0.3690E-13  0.8473E-13  0.7983E-13 -0.4370E-13 -0.3095E-13  0.4216E-13 -0.1506E-13 -0.4559E-13 -0.2106E-13  0.2371E-13  0.9358E-13  0.4431E-13 -0.6017E-13 -0.4247E-13  0.2590E-14  0.1530E-13  0.1683E-13 -0.3103E-14  0.1685E-13  0.4493E-13  0.3018E-14 -0.4842E-13 -0.3280E-13  0.1934E-13  0.3903E-13  0.2347E-13 -0.4659E-14 -0.1341E-13  0.1050E-13  0.1393E-15 -0.2786E-13 -0.1121E-14  0.2921E-13  0.2870E-13  0.1064E-13 -0.2426E-13 -0.2241E-13  0.1031E-13  0.9743E-14 -0.9348E-15  0.7605E-14  0.1673E-13  0.1139E-13 -0.9415E-14 -0.2250E-13 -0.8888E-14  0.1745E-13  0.2178E-13  0.1332E-14 -0.2917E-14  0.4157E-14 -0.2990E-14 -0.7930E-14 -0.7041E-14  0.3433E-14  0.2203E-13  0.1404E-13 -0.8456E-14
